翼型实验数据

实验日期：2015年05月25日10:23:09
大气压(kPa)：100.1400  温度(℃)：25.60  密度： 1.16793kg/m^3
来流风速: 20.48m/s  攻角：17.00  雷诺数：1.00E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3727kPa 来流静压：100.1279kPa 来流动压：244.9Pa
升力系数：1.4047 -0.0539 -0.0539   阻力系数： 0.1763

力矩系数：0.0003 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.87890     -3.53957    001   0.00000
001     -1.06600     -4.30362    002   0.00050
002     -1.10150     -4.44859    003   0.00125
003     -1.14640     -4.63194    004   0.00250
004     -1.19270     -4.82101    005   0.00500
005     -1.18200     -4.77732    006   0.00750
006     -1.13030     -4.56620    007   0.01000
007     -1.11580     -4.50698    008   0.01500
008     -0.98530     -3.97407    009   0.02500
009     -0.95500     -3.85033    010   0.05000
010     -0.63780     -2.55501    012   0.10000
011     -0.57450     -2.29651    013   0.12500
012     -0.52280     -2.08539    014   0.15000
013     -0.48580     -1.93429    015   0.17500
014     -0.41490     -1.64476    016   0.20000
015     -0.41090     -1.62843    017   0.22500
016     -0.33550     -1.32052    019   0.27500
017     -0.24230     -0.93993    021   0.32500
018     -0.19580     -0.75004    022   0.35000
019     -0.16150     -0.60997    023   0.37500
020     -0.15060     -0.56546    024   0.40000
021     -0.13980     -0.52136    025   0.42500
022     -0.13640     -0.50747    026   0.45000
023     -0.13610     -0.50625    027   0.47500
024     -0.13410     -0.49808    028   0.50000
025     -0.13310     -0.49400    029   0.52500
026     -0.13570     -0.50461    030   0.55000
027     -0.13600     -0.50584    031   0.57500
028     -0.13830     -0.51523    032   0.60000
029     -0.14210     -0.53075    033   0.62500
030     -0.14160     -0.52871    034   0.65000
031     -0.14310     -0.53483    035   0.67500
032     -0.14440     -0.54014    036   0.70000
033     -0.14510     -0.54300    038   0.75000
034     -0.14450     -0.54055    040   0.80000
035     -0.14410     -0.53892    041   0.82500
036     -0.15050     -0.56505    042   0.85000
037     -0.14630     -0.54790    043   0.87500
038     -0.14840     -0.55648    044   0.90000
039     -0.14730     -0.55198    045   0.92500
040     -0.14780     -0.55403    046   0.95000
041     -0.14230     -0.53157    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
