翼型实验数据

实验日期：2015年05月25日09:57:35
大气压(kPa)：100.1600  温度(℃)：24.70  密度： 1.17170kg/m^3
来流风速: 20.45m/s  攻角：-10.00  雷诺数：1.01E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3904kPa 来流静压：100.1453kPa 来流动压：245.1Pa
升力系数：-0.6541 0.0076 0.0076   阻力系数： 0.0430

力矩系数：-0.1158 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.21580     -0.82057    001   0.00000
001     -0.05460     -0.16291    002   0.00050
002     0.03810     0.21529    003   0.00125
003     0.11690     0.53678    004   0.00250
004     0.18140     0.79993    005   0.00500
005     0.20530     0.89743    006   0.00750
006     0.22830     0.99127    007   0.01000
007     0.19430     0.85256    008   0.01500
008     0.22480     0.97699    009   0.02500
009     0.20100     0.87989    010   0.05000
010     0.12530     0.57105    012   0.10000
011     0.08490     0.40623    013   0.12500
012     0.05380     0.27934    014   0.15000
013     0.02440     0.15940    015   0.17500
014     -0.00260     0.04924    016   0.20000
015     -0.02390     -0.03766    017   0.22500
016     -0.06270     -0.19595    019   0.27500
017     -0.09090     -0.31100    021   0.32500
018     -0.10180     -0.35547    022   0.35000
019     -0.10760     -0.37914    023   0.37500
020     -0.12220     -0.43870    024   0.40000
021     -0.11930     -0.42687    025   0.42500
022     -0.11880     -0.42483    026   0.45000
023     -0.11990     -0.42932    027   0.47500
024     -0.11520     -0.41014    028   0.50000
025     -0.10690     -0.37628    029   0.52500
026     -0.10120     -0.35303    030   0.55000
027     -0.09600     -0.33181    031   0.57500
028     -0.09170     -0.31427    032   0.60000
029     -0.08840     -0.30080    033   0.62500
030     -0.08240     -0.27632    034   0.65000
031     -0.07840     -0.26001    035   0.67500
032     -0.07350     -0.24001    036   0.70000
033     -0.05430     -0.16168    038   0.75000
034     -0.03960     -0.10171    040   0.80000
035     -0.03460     -0.08131    041   0.82500
036     -0.03700     -0.09110    042   0.85000
037     -0.02880     -0.05765    043   0.87500
038     -0.02990     -0.06214    044   0.90000
039     -0.02570     -0.04500    045   0.92500
040     -0.02470     -0.04092    046   0.95000
041     -0.01310     0.00641    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.31590     -1.22896    096    0.00000
001     -0.50050     -1.98209    095    0.00050
002     -0.57180     -2.27298    094    0.00125
003     -0.63410     -2.52715    093    0.00250
004     -0.67500     -2.69401    092    0.00500
005     -0.72240     -2.88740    091    0.00750
006     -0.71610     -2.86169    090    0.01000
007     -0.64960     -2.59039    089    0.01500
008     -0.60830     -2.42189    088    0.02500
