翼型实验数据

实验日期：2015年05月25日10:00:39
大气压(kPa)：100.1600  温度(℃)：24.90  密度： 1.17091kg/m^3
来流风速: 20.52m/s  攻角：-4.00  雷诺数：1.01E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3894kPa 来流静压：100.1428kPa 来流动压：246.6Pa
升力系数：0.0552 0.0004 0.0004   阻力系数： 0.0060

力矩系数：-0.1245 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.19680     0.86790    001   0.00000
001     0.22890     0.99809    002   0.00050
002     0.23220     1.01148    003   0.00125
003     0.22810     0.99485    004   0.00250
004     0.20830     0.91454    005   0.00500
005     0.19300     0.85248    006   0.00750
006     0.15810     0.71093    007   0.01000
007     0.09710     0.46352    008   0.01500
008     0.08470     0.41322    009   0.02500
009     0.04250     0.24206    010   0.05000
010     -0.03960     -0.09093    012   0.10000
011     -0.07520     -0.23533    013   0.12500
012     -0.10110     -0.34038    014   0.15000
013     -0.12650     -0.44340    015   0.17500
014     -0.13490     -0.47747    016   0.20000
015     -0.16430     -0.59671    017   0.22500
016     -0.19320     -0.71393    019   0.27500
017     -0.21060     -0.78451    021   0.32500
018     -0.21620     -0.80722    022   0.35000
019     -0.21520     -0.80316    023   0.37500
020     -0.22130     -0.82791    024   0.40000
021     -0.21550     -0.80438    025   0.42500
022     -0.20710     -0.77031    026   0.45000
023     -0.20080     -0.74476    027   0.47500
024     -0.18990     -0.70055    028   0.50000
025     -0.17810     -0.65269    029   0.52500
026     -0.17380     -0.63525    030   0.55000
027     -0.16810     -0.61213    031   0.57500
028     -0.16460     -0.59793    032   0.60000
029     -0.12050     -0.41906    033   0.62500
030     -0.11480     -0.39594    034   0.65000
031     -0.10780     -0.36755    035   0.67500
032     -0.09890     -0.33145    036   0.70000
033     -0.08130     -0.26007    038   0.75000
034     -0.06350     -0.18787    040   0.80000
035     -0.05400     -0.14934    041   0.82500
036     -0.05170     -0.14001    042   0.85000
037     -0.03970     -0.09134    043   0.87500
038     -0.03510     -0.07268    044   0.90000
039     -0.02620     -0.03658    045   0.92500
040     -0.01820     -0.00414    046   0.95000
041     0.00780     0.10132    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.16120     0.72350    096    0.00000
001     0.07810     0.38645    095    0.00050
002     0.02290     0.16256    094    0.00125
003     -0.03340     -0.06579    093    0.00250
004     -0.07530     -0.23573    092    0.00500
005     -0.13330     -0.47098    091    0.00750
006     -0.16540     -0.60118    090    0.01000
007     -0.19400     -0.71718    089    0.01500
008     -0.20800     -0.77396    088    0.02500
009     -0.21340     -0.79586    087    0.05000
010     -0.21990     -0.82223    086    0.07500
011     -0.22430     -0.84007    084    0.12500
012     -0.22530     -0.84413    083    0.15000
013     -0.22320     -0.83561    082    0.17500
014     -0.22450     -0.84088    081    0.20000
