翼型实验数据

实验日期：2015年05月25日10:21:42
大气压(kPa)：100.1400  温度(℃)：25.50  密度： 1.16832kg/m^3
来流风速: 20.44m/s  攻角：15.00  雷诺数：1.00E+006 马赫数：0.06  弦长：0.800000
来流总压：100.3701kPa 来流静压：100.1261kPa 来流动压：243.9Pa
升力系数：1.3955 -0.0286 -0.0286   阻力系数： 0.1066

力矩系数：-0.0034 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.72080     -2.89793    001   0.00000
001     -0.90230     -3.64196    002   0.00050
002     -0.94540     -3.81864    003   0.00125
003     -0.99740     -4.03181    004   0.00250
004     -1.05770     -4.27900    005   0.00500
005     -1.05590     -4.27162    006   0.00750
006     -1.02420     -4.14167    007   0.01000
007     -1.02070     -4.12733    008   0.01500
008     -0.88910     -3.58785    009   0.02500
009     -0.84310     -3.39928    010   0.05000
010     -0.61230     -2.45314    012   0.10000
011     -0.56350     -2.25310    013   0.12500
012     -0.52280     -2.08625    014   0.15000
013     -0.49510     -1.97270    015   0.17500
014     -0.43310     -1.71854    016   0.20000
015     -0.43900     -1.74272    017   0.22500
016     -0.38630     -1.52669    019   0.27500
017     -0.32120     -1.25982    021   0.32500
018     -0.28770     -1.12249    022   0.35000
019     -0.24630     -0.95278    023   0.37500
020     -0.21660     -0.83102    024   0.40000
021     -0.17350     -0.65434    025   0.42500
022     -0.14870     -0.55268    026   0.45000
023     -0.13690     -0.50430    027   0.47500
024     -0.13080     -0.47930    028   0.50000
025     -0.12920     -0.47274    029   0.52500
026     -0.12970     -0.47479    030   0.55000
027     -0.12980     -0.47520    031   0.57500
028     -0.13040     -0.47766    032   0.60000
029     -0.13480     -0.49570    033   0.62500
030     -0.13380     -0.49160    034   0.65000
031     -0.13410     -0.49283    035   0.67500
032     -0.13500     -0.49652    036   0.70000
033     -0.13510     -0.49693    038   0.75000
034     -0.13530     -0.49775    040   0.80000
035     -0.13380     -0.49160    041   0.82500
036     -0.14130     -0.52234    042   0.85000
037     -0.13750     -0.50676    043   0.87500
038     -0.13950     -0.51496    044   0.90000
039     -0.14040     -0.51865    045   0.92500
040     -0.14240     -0.52685    046   0.95000
041     -0.14140     -0.52275    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.56130     -2.24408    096    0.00000
001     -0.31560     -1.23686    095    0.00050
002     -0.15320     -0.57112    094    0.00125
003     -0.03830     -0.10011    093    0.00250
004     0.04090     0.22456    092    0.00500
005     0.11990     0.54841    091    0.00750
006     0.17090     0.75748    090    0.01000
007     0.23000     0.99975    089    0.01500
008     0.23540     1.02189    088    0.02500
009     0.22870     0.99442    087    0.05000
