翼型实验数据

实验日期：2015年05月25日10:41:01
大气压(kPa)：100.1200  温度(℃)：26.00  密度： 1.16614kg/m^3
来流风速: 40.71m/s  攻角：14.00  雷诺数：1.99E+006 马赫数：0.11  弦长：0.800000
来流总压：101.0148kPa 来流静压：100.0484kPa 来流动压：966.4Pa
升力系数：1.3109 -0.0234 -0.0234   阻力系数： 0.0940

力矩系数：-0.0232 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -2.58250     -2.59401    001   0.00000
001     -2.62080     -2.63361    002   0.00050
002     -2.59650     -2.60849    003   0.00125
003     -2.58990     -2.60166    004   0.00250
004     -2.60380     -2.61604    005   0.00500
005     -2.57940     -2.59081    006   0.00750
006     -2.55150     -2.56196    007   0.01000
007     -2.76670     -2.78446    008   0.01500
008     -2.55250     -2.56300    009   0.02500
009     -2.62820     -2.64126    010   0.05000
010     -2.42710     -2.43334    012   0.10000
011     -2.22970     -2.22925    013   0.12500
012     -2.07380     -2.06806    014   0.15000
013     -1.97910     -1.97015    015   0.17500
014     -1.88950     -1.87751    016   0.20000
015     -1.77010     -1.75406    017   0.22500
016     -1.57280     -1.55007    019   0.27500
017     -1.32480     -1.29366    021   0.32500
018     -1.20800     -1.17290    022   0.35000
019     -1.04040     -0.99962    023   0.37500
020     -0.89610     -0.85042    024   0.40000
021     -0.72730     -0.67590    025   0.42500
022     -0.60670     -0.55121    026   0.45000
023     -0.54940     -0.49197    027   0.47500
024     -0.52750     -0.46932    028   0.50000
025     -0.51780     -0.45929    029   0.52500
026     -0.51830     -0.45981    030   0.55000
027     -0.51830     -0.45981    031   0.57500
028     -0.52180     -0.46343    032   0.60000
029     -0.52680     -0.46860    033   0.62500
030     -0.52920     -0.47108    034   0.65000
031     -0.53340     -0.47542    035   0.67500
032     -0.53740     -0.47956    036   0.70000
033     -0.54580     -0.48824    038   0.75000
034     -0.54800     -0.49052    040   0.80000
035     -0.54930     -0.49186    041   0.82500
036     -0.55910     -0.50200    042   0.85000
037     -0.55830     -0.50117    043   0.87500
038     -0.56500     -0.50810    044   0.90000
039     -0.56560     -0.50872    045   0.92500
040     -0.57000     -0.51327    046   0.95000
041     -0.55530     -0.49807    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     -1.99980     -1.99155    096    0.00000
001     -1.07380     -1.03415    095    0.00050
002     -0.45800     -0.39747    094    0.00125
003     -0.03630     0.03853    093    0.00250
004     0.24730     0.33175    092    0.00500
005     0.53470     0.62890    091    0.00750
006     0.72150     0.82203    090    0.01000
007     0.89940     1.00597    089    0.01500
008     0.91170     1.01868    088    0.02500
009     0.86580     0.97123    087    0.05000
010     0.74790     0.84933    086    0.07500
011     0.52140     0.61515    084    0.12500
012     0.43020     0.52085    083    0.15000
013     0.34580     0.43359    082    0.17500
014     0.28290     0.36856    081    0.20000
015     0.19400     0.27664    080    0.22500
016     0.13610     0.21678    079    0.25000
017     0.08600     0.16498    078    0.27500
018     0.05580     0.13376    077    0.30000
019     0.02190     0.09871    076    0.32500
020     -0.04410     0.03047    075    0.35000
021     -0.04910     0.02530    074    0.37500
022     -0.05510     0.01910    073    0.40000
023     -0.06890     0.00483    072    0.42500
024     -0.07330     0.00028    071    0.45000
025     -0.06850     0.00524    070    0.47500
026     -0.05000     0.02437    069    0.50000
027     -0.02220     0.05311    068    0.52500
028     -0.00800     0.06779    067    0.55000
029     0.01080     0.08723    066    0.57500
030     0.03030     0.10739    065    0.60000
031     0.04860     0.12631    064    0.62500
032     0.09550     0.17480    063    0.65000
033     0.11840     0.19848    062    0.67500
034     0.15100     0.23219    061    0.70000
035     0.17580     0.25783    060    0.72500
036     0.18820     0.27065    059    0.75000
037     0.20600     0.28905    056    0.82500
038     0.21170     0.29494    055    0.85000
039     0.18410     0.26641    054    0.87500
040     0.15370     0.23498    053    0.90000
041     0.10470     0.18432    052    0.92500
042     -0.00420     0.07172    051    0.95000
043     -0.12690     -0.05514    050    0.97500
044     -0.54300     -0.48535    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91290     1.01992     129    0.06250
001     0.91340     1.02044     130    0.08750
002     0.91220     1.01920     131    0.11250
003     0.91450     1.02158     132    0.13750
004     0.91390     1.02096     133    0.16250
005     0.90930     1.01620     134    0.18750
006     0.91600     1.02313     135    0.21250
007     0.91440     1.02147     136    0.23750
008     0.91280     1.01982     137    0.26250
009     0.91500     1.02209     138    0.28750
010     0.91070     1.01765     139    0.31250
011     0.91410     1.02116     140    0.33750
012     0.91400     1.02106     141    0.36250
013     0.91690     1.02406     142    0.38750
014     0.91570     1.02282     143    0.41250
015     0.91320     1.02023     144    0.43750
016     0.91380     1.02085     145    0.45250
017     0.91310     1.02013     146    0.46750
018     0.91130     1.01827     147    0.48250
019     0.91630     1.02344     148    0.49750
020     0.91200     1.01899     149    0.51250
021     0.91240     1.01941     150    0.52750
022     0.89860     1.00514     151    0.54250
023     0.91570     1.02282     152    0.55750
024     0.91070     1.01765     153    0.57250
025     0.91580     1.02292     154    0.58750
026     0.91290     1.01992     155    0.60250
027     0.91400     1.02106     156    0.61750
028     0.91500     1.02209     157    0.63250
029     0.90590     1.01269     158    0.64750
030     0.90660     1.01341     159    0.66250
031     0.90590     1.01269     160    0.67750
032     0.90330     1.01000     161    0.69250
033     0.89100     0.99728     162    0.70750
034     0.88480     0.99087     163    0.72250
035     0.88050     0.98642     164    0.73750
036     0.85870     0.96389     165    0.74750
037     0.85760     0.96275     166    0.75750
038     0.83610     0.94052     167    0.76750
039     0.81600     0.91974     168    0.77750
040     0.79820     0.90133     169    0.78750
041     0.76680     0.86887     170    0.79750
042     0.74820     0.84964     171    0.80750
043     0.72540     0.82606     172    0.81750
044     0.70410     0.80404     173    0.82750
045     0.68270     0.78192     174    0.83750
046     0.65690     0.75524     175    0.84750
047     0.63460     0.73219     176    0.85750
048     0.62000     0.71709     177    0.86750
049     0.60530     0.70189     178    0.87750
