翼型实验数据

实验日期：2015年05月25日10:32:03
大气压(kPa)：100.1300  温度(℃)：25.80  密度： 1.16703kg/m^3
来流风速: 40.91m/s  攻角：-6.00  雷诺数：2.00E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0286kPa 来流静压：100.0518kPa 来流动压：976.7Pa
升力系数：-0.2054 0.0008 0.0008   阻力系数： 0.0075

力矩系数：-0.1329 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.38380     0.47297    001   0.00000
001     0.68510     0.78145    002   0.00050
002     0.81880     0.91833    003   0.00125
003     0.89310     0.99440    004   0.00250
004     0.91060     1.01232    005   0.00500
005     0.89400     0.99532    006   0.00750
006     0.82170     0.92130    007   0.01000
007     0.72140     0.81861    008   0.01500
008     0.59470     0.68889    009   0.02500
009     0.43660     0.52703    010   0.05000
010     0.08910     0.17125    012   0.10000
011     -0.05680     0.02188    013   0.12500
012     -0.17690     -0.10108    014   0.15000
013     -0.28880     -0.21565    015   0.17500
014     -0.34510     -0.27329    016   0.20000
015     -0.46110     -0.39205    017   0.22500
016     -0.59190     -0.52596    019   0.27500
017     -0.67830     -0.61442    021   0.32500
018     -0.71390     -0.65087    022   0.35000
019     -0.71780     -0.65486    023   0.37500
020     -0.74600     -0.68373    024   0.40000
021     -0.73750     -0.67503    025   0.42500
022     -0.71760     -0.65466    026   0.45000
023     -0.70340     -0.64012    027   0.47500
024     -0.67350     -0.60951    028   0.50000
025     -0.63310     -0.56815    029   0.52500
026     -0.60110     -0.53538    030   0.55000
027     -0.56630     -0.49975    031   0.57500
028     -0.49970     -0.43157    032   0.60000
029     -0.43610     -0.36645    033   0.62500
030     -0.42690     -0.35703    034   0.65000
031     -0.39220     -0.32151    035   0.67500
032     -0.35810     -0.28660    036   0.70000
033     -0.29570     -0.22271    038   0.75000
034     -0.23550     -0.16108    040   0.80000
035     -0.20580     -0.13067    041   0.82500
036     -0.18330     -0.10763    042   0.85000
037     -0.15060     -0.07415    043   0.87500
038     -0.13600     -0.05921    044   0.90000
039     -0.10200     -0.02440    045   0.92500
040     -0.07120     0.00714    046   0.95000
041     0.03070     0.11146    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.14280     0.22623    096    0.00000
001     -0.34990     -0.27820    095    0.00050
002     -0.61070     -0.54521    094    0.00125
003     -0.85840     -0.79881    093    0.00250
004     -1.04650     -0.99139    092    0.00500
005     -1.27820     -1.22861    091    0.00750
006     -1.36250     -1.31492    090    0.01000
007     -1.38530     -1.33826    089    0.01500
008     -1.37090     -1.32352    088    0.02500
009     -1.31710     -1.26843    087    0.05000
010     -1.26810     -1.21827    086    0.07500
011     -1.19200     -1.14035    084    0.12500
012     -1.16830     -1.11609    083    0.15000
013     -1.14540     -1.09265    082    0.17500
014     -1.13170     -1.07862    081    0.20000
015     -1.12760     -1.07442    080    0.22500
016     -1.11370     -1.06019    079    0.25000
017     -1.07090     -1.01637    078    0.27500
018     -1.02210     -0.96641    077    0.30000
019     -0.94360     -0.88604    076    0.32500
020     -0.95130     -0.89392    075    0.35000
021     -0.86660     -0.80721    074    0.37500
022     -0.79700     -0.73595    073    0.40000
023     -0.74690     -0.68466    072    0.42500
024     -0.68800     -0.62435    071    0.45000
025     -0.61680     -0.55146    070    0.47500
026     -0.53710     -0.46986    069    0.50000
027     -0.44210     -0.37260    068    0.52500
028     -0.37120     -0.30001    067    0.55000
029     -0.30170     -0.22885    066    0.57500
030     -0.23110     -0.15657    065    0.60000
031     -0.16110     -0.08490    064    0.62500
032     -0.10860     -0.03115    063    0.65000
033     -0.05160     0.02720    062    0.67500
034     0.00520     0.08536    061    0.70000
035     0.05230     0.13358    060    0.72500
036     0.08850     0.17064    059    0.75000
037     0.16580     0.24978    056    0.82500
038     0.18640     0.27087    055    0.85000
039     0.19490     0.27957    054    0.87500
040     0.20130     0.28613    053    0.90000
041     0.19950     0.28428    052    0.92500
042     0.17910     0.26340    051    0.95000
043     0.16450     0.24845    050    0.97500
044     0.11150     0.19419    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.90970     1.01140     129    0.06250
001     0.90880     1.01047     130    0.08750
002     0.90900     1.01068     131    0.11250
003     0.91040     1.01211     132    0.13750
004     0.91050     1.01221     133    0.16250
005     0.90580     1.00740     134    0.18750
006     0.91340     1.01518     135    0.21250
007     0.91040     1.01211     136    0.23750
008     0.90960     1.01129     137    0.26250
009     0.91140     1.01314     138    0.28750
010     0.90560     1.00720     139    0.31250
011     0.91080     1.01252     140    0.33750
012     0.91160     1.01334     141    0.36250
013     0.91290     1.01467     142    0.38750
014     0.91390     1.01570     143    0.41250
015     0.90960     1.01129     144    0.43750
016     0.91270     1.01447     145    0.45250
017     0.91100     1.01273     146    0.46750
018     0.90920     1.01088     147    0.48250
019     0.91370     1.01549     148    0.49750
020     0.90970     1.01140     149    0.51250
021     0.90960     1.01129     150    0.52750
022     0.89660     0.99798     151    0.54250
023     0.91450     1.01631     152    0.55750
024     0.90870     1.01037     153    0.57250
025     0.91270     1.01447     154    0.58750
026     0.91130     1.01303     155    0.60250
027     0.91260     1.01436     156    0.61750
028     0.91190     1.01365     157    0.63250
029     0.90800     1.00965     158    0.64750
030     0.91020     1.01191     159    0.66250
031     0.90890     1.01058     160    0.67750
032     0.91020     1.01191     161    0.69250
033     0.90020     1.00167     162    0.70750
034     0.90740     1.00904     163    0.72250
035     0.90830     1.00996     164    0.73750
036     0.89400     0.99532     165    0.74750
037     0.90580     1.00740     166    0.75750
038     0.90580     1.00740     167    0.76750
039     0.89930     1.00075     168    0.77750
040     0.90510     1.00669     169    0.78750
041     0.90540     1.00699     170    0.79750
042     0.91250     1.01426     171    0.80750
043     0.90870     1.01037     172    0.81750
044     0.90360     1.00515     173    0.82750
045     0.90630     1.00791     174    0.83750
046     0.91160     1.01334     175    0.84750
047     0.90840     1.01006     176    0.85750
048     0.90510     1.00669     177    0.86750
049     0.90940     1.01109     178    0.87750
050     0.90900     1.01068     179    0.88750
051     0.90530     1.00689     180    0.89750
052     0.90890     1.01058     181    0.90750
053     0.90760     1.00925     182    0.91750
054     0.90900     1.01068     183    0.92750
055     0.90570     1.00730     184    0.93750
056     0.90660     1.00822     185    0.94750
057     0.91700     1.01887     186    0.95750
058     0.91100     1.01273     187    0.96750
059     0.90450     1.00607     188    0.97750
060     0.90660     1.00822     189    0.98750
061     0.90260     1.00413     190    0.99750
062     0.90850     1.01017     191    1.00750
063     0.90930     1.01099     192    1.01750
064     0.90010     1.00157     193    1.02750
065     0.90140     1.00290     194    1.03750
066     0.90620     1.00781     195    1.04750
067     0.90170     1.00320     196    1.05750
068     0.89450     0.99583     197    1.06750
069     0.86980     0.97054     198    1.07750
070     0.83340     0.93328     199    1.08750
071     0.77440     0.87287     200    1.09750
072     0.74140     0.83909     201    1.10750
073     0.75130     0.84922     202    1.11750
074     0.79120     0.89007     203    1.12750
075     0.85030     0.95058     204    1.13750
076     0.89630     0.99768     205    1.15250
077     0.90520     1.00679     206    1.16750
078     0.90420     1.00576     207    1.18250
079     0.90260     1.00413     208    1.19750
080     0.90280     1.00433     209    1.21250
081     0.90470     1.00628     210    1.22750
082     0.90580     1.00740     211    1.24250
083     0.90550     1.00710     212    1.25750
084     0.90720     1.00884     213    1.27250
085     0.90310     1.00464     214    1.28750
086     0.90490     1.00648     215    1.30250
087     0.90580     1.00740     216    1.31750
088     0.90410     1.00566     217    1.33250
089     0.90610     1.00771     218    1.34750
090     0.90570     1.00730     219    1.36250
091     0.90090     1.00239     220    1.37750
092     0.90470     1.00628     221    1.39250
093     0.90280     1.00433     222    1.40750
094     0.90510     1.00669     223    1.42250
095     0.90540     1.00699     224    1.43750
096     0.90380     1.00535     225    1.46250
097     0.91000     1.01170     226    1.48750
098     0.91120     1.01293     227    1.51250
099     0.90570     1.00730     228    1.53750
100     0.90450     1.00607     229    1.56250
101     0.90620     1.00781     230    1.58750
102     0.91000     1.01170     231    1.61250
103     0.88490     0.98600     232    1.63750
104     0.90820     1.00986     233    1.66250
105     0.91160     1.01334     234    1.68750
106     0.90070     1.00218     235    1.71250
107     0.90540     1.00699     236    1.73750
108     0.90160     1.00310     237    1.76250
109     0.90780     1.00945     238    1.78750
110     0.90970     1.01140     239    1.81250

尾耙静压
序号  压力(kPa)   压力系数  测压通道  坐标
000     -0.09960     -0.02194      241    0.62500
001     -0.12010     -0.04293      242    0.93750
002     -0.11810     -0.04088      243    1.25000
003     -0.05970     0.01891      244    1.56250
