翼型实验数据

实验日期：2015年05月25日10:34:27
大气压(kPa)：100.1300  温度(℃)：25.80  密度： 1.16703kg/m^3
来流风速: 41.10m/s  攻角：-1.00  雷诺数：2.01E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0281kPa 来流静压：100.0425kPa 来流动压：985.6Pa
升力系数：0.4337 0.0001 0.0001   阻力系数： 0.0076

力矩系数：-0.1109 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91060     1.01153    001   0.00000
001     0.82030     0.91996    002   0.00050
002     0.71880     0.81703    003   0.00125
003     0.58660     0.68297    004   0.00250
004     0.36620     0.45946    005   0.00500
005     0.26000     0.35177    006   0.00750
006     0.06710     0.15615    007   0.01000
007     -0.05530     0.03202    008   0.01500
008     -0.23000     -0.14514    009   0.02500
009     -0.37430     -0.29147    010   0.05000
010     -0.62630     -0.54702    012   0.10000
011     -0.72340     -0.64549    013   0.12500
012     -0.80510     -0.72834    014   0.15000
013     -0.89080     -0.81524    015   0.17500
014     -0.90720     -0.83187    016   0.20000
015     -1.00610     -0.93217    017   0.22500
016     -1.08880     -1.01603    019   0.27500
017     -1.12590     -1.05366    021   0.32500
018     -1.13990     -1.06785    022   0.35000
019     -1.11750     -1.04514    023   0.37500
020     -1.12160     -1.04929    024   0.40000
021     -1.09070     -1.01796    025   0.42500
022     -1.04860     -0.97527    026   0.45000
023     -1.01070     -0.93683    027   0.47500
024     -0.96870     -0.89424    028   0.50000
025     -0.92690     -0.85185    029   0.52500
026     -0.76970     -0.69244    030   0.55000
027     -0.73080     -0.65299    031   0.57500
028     -0.68770     -0.60928    032   0.60000
029     -0.62320     -0.54387    033   0.62500
030     -0.59530     -0.51558    034   0.65000
031     -0.54250     -0.46204    035   0.67500
032     -0.49180     -0.41062    036   0.70000
033     -0.40390     -0.32149    038   0.75000
034     -0.32080     -0.23721    040   0.80000
035     -0.28030     -0.19614    041   0.82500
036     -0.24980     -0.16521    042   0.85000
037     -0.20650     -0.12130    043   0.87500
038     -0.17970     -0.09413    044   0.90000
039     -0.13690     -0.05072    045   0.92500
040     -0.09580     -0.00905    046   0.95000
041     0.02320     0.11163    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91360     1.01457    096    0.00000
001     0.81850     0.91813    095    0.00050
002     0.69870     0.79665    094    0.00125
003     0.55530     0.65123    093    0.00250
004     0.42990     0.52406    092    0.00500
005     0.24550     0.33706    091    0.00750
006     0.11290     0.20259    090    0.01000
007     -0.09190     -0.00509    089    0.01500
008     -0.20250     -0.11725    088    0.02500
009     -0.30780     -0.22403    087    0.05000
010     -0.41400     -0.33173    086    0.07500
011     -0.52920     -0.44855    084    0.12500
012     -0.56520     -0.48506    083    0.15000
013     -0.59660     -0.51690    082    0.17500
014     -0.61610     -0.53667    081    0.20000
015     -0.65430     -0.57541    080    0.22500
016     -0.67030     -0.59164    079    0.25000
017     -0.65900     -0.58018    078    0.27500
018     -0.62870     -0.54945    077    0.30000
019     -0.61380     -0.53434    076    0.32500
020     -0.63350     -0.55432    075    0.35000
021     -0.59260     -0.51284    074    0.37500
022     -0.55420     -0.47390    073    0.40000
023     -0.52590     -0.44520    072    0.42500
024     -0.49840     -0.41732    071    0.45000
025     -0.40990     -0.32757    070    0.47500
026     -0.34970     -0.26652    069    0.50000
027     -0.27610     -0.19189    068    0.52500
028     -0.22640     -0.14149    067    0.55000
029     -0.17310     -0.08743    066    0.57500
030     -0.11620     -0.02973    065    0.60000
031     -0.05660     0.03071    064    0.62500
032     -0.01470     0.07320    063    0.65000
033     0.03350     0.12208    062    0.67500
034     0.08840     0.17775    061    0.70000
035     0.13340     0.22338    060    0.72500
036     0.16570     0.25614    059    0.75000
037     0.23980     0.33128    056    0.82500
038     0.25950     0.35126    055    0.85000
039     0.25830     0.35004    054    0.87500
040     0.25830     0.35004    053    0.90000
041     0.24560     0.33716    052    0.92500
042     0.21060     0.30167    051    0.95000
043     0.18280     0.27348    050    0.97500
044     0.09620     0.18566    049    0.99000

尾耙总压
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.91570     1.01670     129    0.06250
001     0.91690     1.01792     130    0.08750
002     0.91560     1.01660     131    0.11250
003     0.91790     1.01893     132    0.13750
004     0.91790     1.01893     133    0.16250
005     0.91320     1.01417     134    0.18750
006     0.91910     1.02015     135    0.21250
007     0.91850     1.01954     136    0.23750
008     0.91650     1.01751     137    0.26250
009     0.91930     1.02035     138    0.28750
010     0.91330     1.01427     139    0.31250
011     0.91870     1.01974     140    0.33750
012     0.91910     1.02015     141    0.36250
013     0.92080     1.02187     142    0.38750
014     0.92020     1.02127     143    0.41250
015     0.91700     1.01802     144    0.43750
016     0.91860     1.01964     145    0.45250
017     0.91700     1.01802     146    0.46750
018     0.91600     1.01701     147    0.48250
019     0.92040     1.02147     148    0.49750
020     0.91610     1.01711     149    0.51250
021     0.91680     1.01782     150    0.52750
022     0.90240     1.00321     151    0.54250
023     0.92080     1.02187     152    0.55750
024     0.91460     1.01559     153    0.57250
025     0.91970     1.02076     154    0.58750
026     0.91880     1.01985     155    0.60250
027     0.91870     1.01974     156    0.61750
028     0.91820     1.01924     157    0.63250
029     0.91440     1.01538     158    0.64750
030     0.91660     1.01761     159    0.66250
031     0.91620     1.01721     160    0.67750
032     0.91810     1.01914     161    0.69250
033     0.90830     1.00920     162    0.70750
034     0.91490     1.01589     163    0.72250
035     0.91580     1.01680     164    0.73750
036     0.90240     1.00321     165    0.74750
037     0.91260     1.01356     166    0.75750
038     0.91390     1.01488     167    0.76750
039     0.90700     1.00788     168    0.77750
040     0.91230     1.01325     169    0.78750
041     0.91190     1.01285     170    0.79750
042     0.91840     1.01944     171    0.80750
043     0.91630     1.01731     172    0.81750
044     0.91070     1.01163     173    0.82750
045     0.91260     1.01356     174    0.83750
046     0.91710     1.01812     175    0.84750
047     0.91540     1.01640     176    0.85750
048     0.91150     1.01244     177    0.86750
049     0.91550     1.01650     178    0.87750
