翼型实验数据

实验日期：2015年05月25日10:34:49
大气压(kPa)：100.1200  温度(℃)：25.90  密度： 1.16653kg/m^3
来流风速: 41.24m/s  攻角：0.00  雷诺数：2.02E+006 马赫数：0.12  弦长：0.800000
来流总压：101.0223kPa 来流静压：100.0302kPa 来流动压：992.2Pa
升力系数：0.5608 0.0000 0.0000   阻力系数： 0.0076

力矩系数：-0.1057 0.0000 0.0000

翼型上表面1
序号  压力(kPa)   压力系数  测压通道  坐标
000     0.85930     0.95836    001   0.00000
001     0.69320     0.79106    002   0.00050
002     0.56170     0.65862    003   0.00125
003     0.39550     0.49122    004   0.00250
004     0.13640     0.23025    005   0.00500
005     0.02010     0.11311    006   0.00750
006     -0.17960     -0.08803    007   0.01000
007     -0.29730     -0.20658    008   0.01500
008     -0.46020     -0.37065    009   0.02500
009     -0.58710     -0.49847    010   0.05000
010     -0.79880     -0.71170    012   0.10000
011     -0.88030     -0.79378    013   0.12500
012     -0.95120     -0.86519    014   0.15000
013     -1.02830     -0.94285    015   0.17500
014     -1.04100     -0.95564    016   0.20000
015     -1.12980     -1.04508    017   0.22500
016     -1.20000     -1.11579    019   0.27500
017     -1.22460     -1.14057    021   0.32500
018     -1.23390     -1.14993    022   0.35000
019     -1.20550     -1.12133    023   0.37500
020     -1.20320     -1.11901    024   0.40000
021     -1.16810     -1.08366    025   0.42500
022     -1.12210     -1.03733    026   0.45000
023     -1.08150     -0.99643    027   0.47500
024     -1.03790     -0.95252    028   0.50000
025     -0.97150     -0.88564    029   0.52500
026     -0.80870     -0.72167    030   0.55000
027     -0.78160     -0.69437    031   0.57500
028     -0.73180     -0.64421    032   0.60000
029     -0.66150     -0.57341    033   0.62500
030     -0.63070     -0.54238    034   0.65000
031     -0.57380     -0.48507    035   0.67500
032     -0.52060     -0.43149    036   0.70000
033     -0.42680     -0.33701    038   0.75000
034     -0.33960     -0.24918    040   0.80000
035     -0.29730     -0.20658    041   0.82500
036     -0.26350     -0.17254    042   0.85000
037     -0.21790     -0.12661    043   0.87500
038     -0.18990     -0.09840    044   0.90000
039     -0.14390     -0.05207    045   0.92500
040     -0.10040     -0.00826    046   0.95000
041     0.01940     0.11240    048   0.99000

翼型下表面1
序号  压力(kPa)   压力系数  测压通道  坐标
